City,NO2,O3,PM25,latitude,longitude
Gaya,4.55506329113925,119.252807881773,31.0352197802198,24.762518,84.982348
Ghaziabad,28.0686813186813,122.986050420168,57.6501377410468,28.6603346,77.3572563
Greater Noida,22.0186046511628,78.4545238095238,42.3333333333333,28.557054,77.453663
Gurugram,30.4406117021277,72.0264187327823,56.8092857142857,28.4501238,77.0263051
Guwahati,7.859,39.9565,11.211,26.181742,91.78063
Gwalior,13.2875,73.444262295082,12.8128461538462,26.203442,78.193251
Hajipur,5.34857142857143,21.9231428571429,17.981,25.697189,85.2459
Hapur,54.4,1.73529411764706,52.1666666666667,28.725645,77.749675
Hisar,19.4546666666667,32.3013333333333,40.1513333333333,29.14056,75.744941
Howrah,15.862962962963,54.4007407407407,10.7666666666667,22.629801,88.352017
Hubballi,13.2525,1.42333333333333,13.3269444444444,15.351773,75.140726
Hyderabad,25.1881355932203,38.5312788906009,-41.2009764035802,17.460103,78.334361
India,,,23.7336683417085,19.07283,78.45636
Indore,36.1212765957447,74.4545454545455,14.8510638297872,22.431,75.5213
Jabalpur,21.0468085106383,66.3148936170213,23.86,23.168606,79.932247
Jaipur,16.5468138801262,47.2154574132492,52.846403785489,26.9164092,75.7994901
Jalandhar,9.43235294117647,24.4485294117647,48.1560294117647,31.321907,75.578914
Jind,24.1446153846154,85.0961538461538,66.7769230769231,29.307814,76.337619
Jodhpur,18.5287272727273,38.7577655677656,89.7425,26.268249,73.0193853
Jorapokhar,10.6669135802469,37.1334016393443,60.440329218107,23.707909,86.41467
Kaithal,22.8735294117647,42.7570588235294,38.1058823529412,29.8006,76.4155
Kalaburagi,3.15777777777778,,30.4948387096774,17.321993,76.822628
Kalyan,7.1490625,64.9861538461538,41.9491176470588,19.25292,73.142019
Kannur,15.7191304347826,3.99695652173913,23.7894202898551,11.875,75.3732
Kanpur,40.6616504854369,33.6364077669903,53.4146341463415,26.4703136,80.3229863
Karnal,11.1785714285714,52.7478571428571,44.8814285714286,29.6953,77.0027
Katni,17.8755102040816,68.0723404255319,32.3061224489796,23.50016,80.23284
Khanna,7.68918032786885,18.8883870967742,36.576935483871,30.736056,76.209694
Kochi,22.34296875,1.20671875,13.41828125,9.969447,76.321186
Kolkata,7.29059633027523,30.067752293578,-221.589922879177,22.5448082,88.36304
Kollam,11.5720289855072,11.5768115942029,28.7107246376812,8.8787,76.6073
Kota,6.80005050505051,39.8467005076142,36.3035532994924,25.14389,75.821256
Kozhikode,10.1844285714286,5.825,20.2707142857143,11.249077,75.784371
Kurukshetra ,14.8709090909091,57.6154545454546,45.0790909090909,29.966942,76.875879
Lucknow,14.1054518072289,33.3007391304348,69.6480873493976,26.8458805,80.9302753
Ludhiana,6.06081632653061,29.0657551020408,41.0851428571429,30.9028,75.8086
Maihar,33.7846666666667,,23.6726666666667,24.2613009,80.7231783
Mandi Gobindgarh,8.18785425101214,28.3958299595142,62.7552226720647,30.649961,76.331442
Mandideep,10.9019801980198,19.5673267326733,26.4851485148515,23.10844,77.511428
Mandikhera,8.42714285714286,59.7485714285714,56.2928571428571,27.9002,76.9938
Manesar ,4.669375,41.83875,39.1375,28.360699,76.93609
Meerut,22.8547368421053,27.8778947368421,51.2815533980583,28.999264,77.7590354
Moradabad,297.590909090909,,29.1818181818182,28.825341,78.7213009
Mumbai,6.86865633074935,16.8677272727273,-115.833758169935,19.0627,72.84614
Muzaffarnagar,13.6914893617021,18.7165957446808,82.82,29.4723508,77.7194031
Muzaffarpur,24.0258139534884,49.9965581395349,27.887323943662,26.1209,85.3647
